time,wd,wsp,wsp2,gust
08/12/2014 01:00,341,4.4,4.4,
08/12/2014 02:00,314,4.3,4.3,
08/12/2014 03:00,349,4.2,4.2,
08/12/2014 04:00,345,4.1,4.1,10.9
08/12/2014 05:00,358,4.5,4.5,
08/12/2014 06:00,307,4.9,4.9,
08/12/2014 07:00,338,5.3,5.3,
08/12/2014 08:00,309,5.5,5.5,
08/12/2014 09:00,356,4.7,4.7,
08/12/2014 10:00,352,4.4,4.4,11.5
08/12/2014 11:00,269,4.9,4.9,
08/12/2014 12:00,96,5.3,5.3,
08/12/2014 13:00,29,5.8,6,
08/12/2014 14:00,54,5.6,6,
08/12/2014 15:00,43,5.3,6,
08/12/2014 16:00,21,5.1,6,18.8
08/12/2014 17:00,33,5.5,6,
08/12/2014 18:00,54,5.9,6,
08/12/2014 19:00,39,6.3,6,
08/12/2014 20:00,133,6.4,6,
08/12/2014 21:00,175,6.6,6,
08/12/2014 22:00,196,6.8,6,16.6
08/12/2014 23:00,193,8.5,6,
09/12/2014 00:00,188,10.2,6,
09/12/2014 01:00,181,12,6,
09/12/2014 02:00,182,11.7,11.7,
09/12/2014 03:00,181,11.4,11.4,
09/12/2014 04:00,181,11.1,11.1,21.3
09/12/2014 05:00,178,10.7,10.7,
09/12/2014 06:00,176,10.4,10.4,
09/12/2014 07:00,174,10,10,
09/12/2014 08:00,167,9.6,9.6,
09/12/2014 09:00,160,9.2,9.2,
09/12/2014 10:00,153,8.8,8.8,18.8
09/12/2014 11:00,147,9,9,
09/12/2014 12:00,142,9.2,9.2,
09/12/2014 13:00,136,9.4,9.4,
09/12/2014 14:00,132,9.9,9.9,
09/12/2014 15:00,129,10.4,10.4,
09/12/2014 16:00,125,11,11,19.3
09/12/2014 17:00,122,10.2,10.2,
09/12/2014 18:00,119,9.5,9.5,
09/12/2014 19:00,116,8.8,8.8,
09/12/2014 20:00,112,7.8,7.8,
09/12/2014 21:00,109,6.8,6.8,
09/12/2014 22:00,107,5.7,5.7,18.7
09/12/2014 23:00,107,5.3,5.3,
10/12/2014 00:00,107,4.8,4.8,
10/12/2014 01:00,107,4.3,4.3,
10/12/2014 02:00,107,4.2,4.2,
10/12/2014 03:00,107,4.2,4.2,
10/12/2014 04:00,107,4.2,4.2,9.5
10/12/2014 05:00,101,4.4,4.4,
10/12/2014 06:00,94,4.7,4.7,
10/12/2014 07:00,87,5,5,
10/12/2014 08:00,78,5.6,5.6,
10/12/2014 09:00,68,6.1,6.1,
10/12/2014 10:00,58,6.6,6.6,12.5
10/12/2014 11:00,58,7.3,7.3,
10/12/2014 12:00,59,7.9,7.9,
10/12/2014 13:00,60,8.5,8.5,
10/12/2014 14:00,61,9.3,9.3,
10/12/2014 15:00,61,10.1,10.1,
10/12/2014 16:00,62,10.9,10.9,18.6
10/12/2014 17:00,60,10.6,10.6,
10/12/2014 18:00,59,10.3,10.3,
10/12/2014 19:00,57,10,10,
10/12/2014 20:00,53,9.3,9.3,
10/12/2014 21:00,49,8.6,8.6,
10/12/2014 22:00,45,8,8,19.2
10/12/2014 23:00,60,7.6,7.6,
11/12/2014 00:00,42,7.3,7.3,
11/12/2014 01:00,43,7,7,
11/12/2014 02:00,60,7,7,
11/12/2014 03:00,50,6.9,6.9,
11/12/2014 04:00,31,7,7,14.3
11/12/2014 05:00,57,7.6,7.6,
11/12/2014 06:00,125,8.2,8.2,
11/12/2014 07:00,67,8.8,8.8,
11/12/2014 08:00,111,9.2,9.2,
11/12/2014 09:00,141,9.6,9.6,
11/12/2014 10:00,136,10,10,19.5
11/12/2014 11:00,149,10.9,10.9,
11/12/2014 12:00,149,11.8,11.8,
11/12/2014 13:00,147,12.8,12.8,
11/12/2014 14:00,146,14,14,
11/12/2014 15:00,144,15.3,15.3,
11/12/2014 16:00,143,16.6,16.0,28.6
11/12/2014 17:00,142,16.6,16.0,
11/12/2014 18:00,141,16.6,16.0,
11/12/2014 19:00,140,16.6,16.0,
11/12/2014 20:00,139,16.7,16.0,
11/12/2014 21:00,138,16.7,16.0,
11/12/2014 22:00,138,16.8,16.0,30.6
11/12/2014 23:00,139,17,16.0,
12/12/2014 00:00,139,17.4,16.0,
12/12/2014 01:00,140,17.6,16.0,
12/12/2014 02:00,140,17.8,16.0,
12/12/2014 03:00,141,18,16.0,
12/12/2014 04:00,141,18.2,16.0,31.4
12/12/2014 05:00,140,18.4,16.0,
12/12/2014 06:00,140,18.7,16.0,
12/12/2014 07:00,139,18.9,16.0,
12/12/2014 08:00,138,19.1,16.0,
12/12/2014 09:00,136,19.3,16.0,
12/12/2014 10:00,135,19.5,16.0,33.9
12/12/2014 11:00,135,19.5,19.5,
12/12/2014 12:00,134,19.5,19.5,
12/12/2014 13:00,134,19.5,19.5,
12/12/2014 14:00,134,19.4,19.4,
12/12/2014 15:00,135,19.4,19.4,
12/12/2014 16:00,135,19.4,19.4,34
12/12/2014 17:00,137,18.8,18.8,
12/12/2014 18:00,138,18.2,18.2,
12/12/2014 19:00,137,17.7,17.7,
12/12/2014 20:00,138,17.6,17.6,
12/12/2014 21:00,138,17.5,17.5,
12/12/2014 22:00,136,17.4,17.4,32.7
12/12/2014 23:00,137,17,17,
13/12/2014 00:00,137,16.6,16.6,
13/12/2014 01:00,137,16.2,16.2,
13/12/2014 02:00,137,15.9,15.9,
13/12/2014 03:00,137,15.6,15.6,
13/12/2014 04:00,138,15.3,15.3,28.4
13/12/2014 05:00,138,15.4,15.4,
13/12/2014 06:00,140,15.4,15.4,
13/12/2014 07:00,136,15.5,15.5,
13/12/2014 08:00,139,15.6,15.6,
13/12/2014 09:00,137,15.7,15.7,
13/12/2014 10:00,136,15.8,15.8,28.1
13/12/2014 11:00,137,15.6,15.6,
13/12/2014 12:00,139,15.4,15.0,
13/12/2014 13:00,142,15.2,15.0,
13/12/2014 14:00,145,15,15.0,
13/12/2014 15:00,147,14.8,15.0,
13/12/2014 16:00,146,14.5,15.0,27.5
13/12/2014 17:00,149,13.9,15.0,
13/12/2014 18:00,150,13.3,15.0,
13/12/2014 19:00,152,12.7,15.0,
13/12/2014 20:00,152,12,15.0,
13/12/2014 21:00,153,11.4,15.0,
13/12/2014 22:00,153,10.8,15.0,24.5
13/12/2014 23:00,166,10.4,15.0,
14/12/2014 00:00,180,10,15.0,
14/12/2014 01:00,197,9.6,15.0,
14/12/2014 02:00,215,9.2,9.2,
14/12/2014 03:00,231,8.9,8.9,
14/12/2014 04:00,247,8.5,8.5,17.2
14/12/2014 05:00,234,8.4,8.4,
14/12/2014 06:00,218,8.2,8.2,
14/12/2014 07:00,203,8.1,8.1,
14/12/2014 08:00,190,8,8,
14/12/2014 09:00,189,7.8,7.8,
14/12/2014 10:00,233,7.8,7.8,17.4
14/12/2014 11:00,182,8,8,
14/12/2014 12:00,163,8.4,8.4,
14/12/2014 13:00,146,8.7,8.7,
14/12/2014 14:00,131,9.1,9.1,
14/12/2014 15:00,117,9.4,9.4,
14/12/2014 16:00,105,9.8,9.8,20.1
14/12/2014 17:00,112,9.4,9.4,
14/12/2014 18:00,117,8.9,8.9,
14/12/2014 19:00,120,8.5,8.5,
14/12/2014 20:00,120,8.1,8.1,
14/12/2014 21:00,120,7.7,7.7,
14/12/2014 22:00,114,7.3,7.3,19
14/12/2014 23:00,128,7,7,